epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,598.631,0.91872,1.22349,0.00198,0.74419,0.6901,0.74361,0.58306,0.81137,0.71677,0.00159,0.0004654,0.0004654,0.0004654
56,608.671,0.9775,1.2703,0.00208,0.72853,0.68743,0.74504,0.58562,0.82455,0.70293,0.00159,0.0004555,0.0004555,0.0004555
57,619.26,0.96768,1.20651,0.00186,0.62571,0.73399,0.74242,0.58023,0.79998,0.70072,0.00153,0.0004456,0.0004456,0.0004456
58,629.414,1.02116,1.24621,0.0019,0.6722,0.74296,0.74457,0.58278,0.78455,0.70108,0.0015,0.0004357,0.0004357,0.0004357
59,639.805,0.92924,1.24039,0.00188,0.67249,0.74417,0.74517,0.58713,0.77366,0.67248,0.0015,0.0004258,0.0004258,0.0004258
60,649.391,0.96002,1.1894,0.00192,0.67587,0.7378,0.74621,0.58532,0.80694,0.65525,0.00158,0.0004159,0.0004159,0.0004159
61,659.967,1.02517,1.20211,0.00192,0.6446,0.74558,0.74877,0.58612,0.80841,0.63516,0.00156,0.000406,0.000406,0.000406
62,670.461,0.96164,1.12875,0.00185,0.62888,0.76729,0.75658,0.59853,0.75586,0.63018,0.00147,0.0003961,0.0003961,0.0003961
63,681.53,1.00679,1.23184,0.00197,0.64061,0.74545,0.75848,0.58686,0.80908,0.59722,0.00153,0.0003862,0.0003862,0.0003862
64,690.851,0.94768,1.15997,0.00191,0.65009,0.76458,0.75624,0.58547,0.81113,0.60412,0.00151,0.0003763,0.0003763,0.0003763
65,701.246,0.99565,1.14626,0.00178,0.64754,0.7588,0.75377,0.58929,0.78154,0.62529,0.00142,0.0003664,0.0003664,0.0003664
66,711.541,0.94168,1.09491,0.00187,0.73544,0.66253,0.75951,0.59097,0.78626,0.61066,0.00148,0.0003565,0.0003565,0.0003565
67,721.804,0.88792,1.05783,0.00178,0.71633,0.68084,0.76722,0.60015,0.76199,0.60462,0.00146,0.0003466,0.0003466,0.0003466
68,732.631,0.9245,1.06522,0.00192,0.6845,0.7174,0.77439,0.60725,0.76435,0.61361,0.00142,0.0003367,0.0003367,0.0003367
69,742.063,0.9585,1.05088,0.00176,0.65608,0.77833,0.78186,0.60762,0.78598,0.59909,0.00148,0.0003268,0.0003268,0.0003268
70,752.487,0.90612,1.04769,0.00182,0.6664,0.79583,0.7798,0.60405,0.79031,0.59562,0.00147,0.0003169,0.0003169,0.0003169
71,762.986,0.96776,1.06672,0.00177,0.65028,0.78059,0.77965,0.61397,0.74435,0.61257,0.00139,0.000307,0.000307,0.000307
72,773.929,0.92089,0.99762,0.00166,0.66138,0.77563,0.78418,0.61861,0.75092,0.61573,0.00138,0.0002971,0.0002971,0.0002971
73,783.56,0.9303,0.98955,0.00164,0.67996,0.77307,0.78812,0.61361,0.79441,0.58595,0.00145,0.0002872,0.0002872,0.0002872
74,794.201,0.9396,1.04706,0.00179,0.73995,0.75937,0.79317,0.61714,0.77547,0.57341,0.00142,0.0002773,0.0002773,0.0002773
75,804.397,0.91489,1.01873,0.00174,0.71605,0.78184,0.79406,0.62828,0.75924,0.56162,0.00139,0.0002674,0.0002674,0.0002674
76,815.631,0.94501,1.03414,0.00184,0.72823,0.7745,0.79577,0.62597,0.75576,0.55977,0.00138,0.0002575,0.0002575,0.0002575
77,825.938,0.95878,1.01295,0.00172,0.74179,0.75505,0.79665,0.62018,0.79446,0.5629,0.00146,0.0002476,0.0002476,0.0002476
78,835.431,0.93405,1.0316,0.00191,0.73536,0.76421,0.80026,0.61883,0.79203,0.56568,0.00145,0.0002377,0.0002377,0.0002377
79,846.134,0.91644,1.02623,0.00161,0.715,0.76445,0.80007,0.62056,0.75782,0.58673,0.00139,0.0002278,0.0002278,0.0002278
80,856.517,0.8638,0.97962,0.00175,0.69046,0.77064,0.79683,0.62351,0.74753,0.58604,0.00137,0.0002179,0.0002179,0.0002179
81,867.17,0.87516,0.93232,0.00165,0.66794,0.77716,0.79585,0.62516,0.75952,0.56853,0.00138,0.000208,0.000208,0.000208
82,876.409,0.83974,0.93942,0.00168,0.67159,0.78259,0.79785,0.62772,0.76251,0.56075,0.00139,0.0001981,0.0001981,0.0001981
83,887.017,1.00369,1.06549,0.0017,0.69404,0.78996,0.80448,0.62703,0.77947,0.54618,0.00143,0.0001882,0.0001882,0.0001882
84,897.654,0.90912,0.96157,0.00162,0.69671,0.78332,0.80411,0.63162,0.76242,0.56798,0.00141,0.0001783,0.0001783,0.0001783
85,908.318,0.91232,0.95008,0.00166,0.72376,0.7728,0.8056,0.6313,0.76017,0.57128,0.00138,0.0001684,0.0001684,0.0001684
86,918.299,0.91974,1.01041,0.00173,0.7097,0.7846,0.80929,0.63594,0.74677,0.56687,0.00136,0.0001585,0.0001585,0.0001585
87,928.486,0.88316,0.92848,0.00166,0.70807,0.78513,0.80745,0.63972,0.73636,0.56073,0.00135,0.0001486,0.0001486,0.0001486
88,939.461,0.93571,1.01425,0.00178,0.70086,0.79241,0.80542,0.63702,0.73077,0.56095,0.00136,0.0001387,0.0001387,0.0001387
89,949.952,0.84588,0.89576,0.00166,0.70366,0.79725,0.80586,0.63017,0.74104,0.56727,0.00137,0.0001288,0.0001288,0.0001288
90,960.326,0.90698,0.96011,0.00169,0.70034,0.79208,0.80783,0.63062,0.75703,0.54996,0.00138,0.0001189,0.0001189,0.0001189
91,971.253,0.85334,0.95111,0.00185,0.70901,0.78104,0.80326,0.62845,0.75998,0.5501,0.00137,0.000109,0.000109,0.000109
92,979.986,0.82959,0.95902,0.00184,0.72335,0.7721,0.80999,0.62656,0.76827,0.5496,0.00138,9.91e-05,9.91e-05,9.91e-05
93,988.994,0.82799,0.93328,0.00179,0.72137,0.77596,0.80754,0.62618,0.7645,0.55095,0.00139,8.92e-05,8.92e-05,8.92e-05
94,996.924,0.85133,0.96386,0.00182,0.7148,0.76064,0.8079,0.6262,0.7455,0.57638,0.00137,7.93e-05,7.93e-05,7.93e-05
95,1005.7,0.84637,0.98052,0.00185,0.71136,0.78166,0.80906,0.62792,0.75548,0.55584,0.00139,6.94e-05,6.94e-05,6.94e-05
96,1014.62,0.87016,0.98016,0.00193,0.70946,0.78982,0.81163,0.63025,0.7612,0.5534,0.00139,5.95e-05,5.95e-05,5.95e-05
97,1022.45,0.83431,0.93478,0.00178,0.69802,0.7826,0.8119,0.63129,0.75517,0.55046,0.00138,4.96e-05,4.96e-05,4.96e-05
98,1031.26,0.82183,0.94478,0.00181,0.69109,0.7919,0.81167,0.63244,0.75921,0.54477,0.00138,3.97e-05,3.97e-05,3.97e-05
99,1040.46,0.823,0.93447,0.00179,0.68559,0.79418,0.81091,0.633,0.75472,0.54469,0.00137,2.98e-05,2.98e-05,2.98e-05
100,1048.54,0.8632,0.9484,0.00178,0.68485,0.78619,0.81077,0.63068,0.75825,0.54629,0.00138,1.99e-05,1.99e-05,1.99e-05
