epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,974.323,0.67084,1.0613,0.75321,0.98456,0,0.85403,0.79113,0.83447,0.63361,0.80362,0.76655,0.80329,0.53524,0.65836,0.91797,0.63672,0.9416,0,0.000338198,0.000338198,0.000338198
62,990.3,0.71156,1.1577,0.79075,1.01031,0,0.81372,0.81502,0.82864,0.61938,0.85743,0.75104,0.80609,0.53822,0.68218,0.92434,0.64247,0.94777,0,0.000329951,0.000329951,0.000329951
63,1005.85,0.66592,1.0344,0.74261,0.98657,0,0.8784,0.78486,0.84285,0.63794,0.84697,0.76584,0.80979,0.52813,0.66563,0.92777,0.61458,0.94187,0,0.000321705,0.000321705,0.000321705
64,1022.14,0.70771,1.10376,0.76706,0.99264,0,0.87257,0.79675,0.84893,0.64938,0.85857,0.78177,0.82296,0.54384,0.65463,0.91693,0.60991,0.9349,0,0.000313458,0.000313458,0.000313458
65,1038.23,0.69405,1.07443,0.77196,0.99818,0,0.8905,0.77931,0.8492,0.64804,0.85641,0.76961,0.83217,0.55477,0.66494,0.94476,0.61038,0.93665,0,0.000305211,0.000305211,0.000305211
66,1054.24,0.69972,1.14904,0.76076,0.99658,0,0.89589,0.77277,0.85511,0.6487,0.83952,0.75363,0.82089,0.53721,0.66766,0.95434,0.61259,0.93728,0,0.000296964,0.000296964,0.000296964
67,1069.73,0.69153,1.0709,0.74711,0.98279,0,0.8367,0.80983,0.84589,0.63807,0.80458,0.79581,0.83493,0.55153,0.66153,0.93615,0.62523,0.93713,0,0.000288718,0.000288718,0.000288718
68,1085.18,0.70865,1.17574,0.76898,0.99709,0,0.85574,0.80786,0.84783,0.64547,0.81603,0.78361,0.83197,0.54553,0.64871,0.93443,0.62218,0.9371,0,0.000280471,0.000280471,0.000280471
69,1100.95,0.68863,1.1323,0.76558,0.98719,0,0.84131,0.8042,0.84197,0.64031,0.82708,0.77743,0.81826,0.53287,0.66908,0.94718,0.6168,0.94401,0,0.000272224,0.000272224,0.000272224
70,1117.09,0.68283,1.10391,0.74776,0.97634,0,0.89405,0.78105,0.83745,0.64926,0.85657,0.75684,0.81641,0.54677,0.64641,0.93817,0.60102,0.93319,0,0.000263978,0.000263978,0.000263978
71,1133.34,0.65598,1.0334,0.72309,0.97341,0,0.89489,0.80192,0.85368,0.64952,0.88302,0.79046,0.83759,0.56177,0.63754,0.90076,0.59536,0.92954,0,0.000255731,0.000255731,0.000255731
72,1148.97,0.67265,1.12019,0.72103,0.96647,0,0.89825,0.77525,0.85421,0.65676,0.88843,0.7767,0.83478,0.55506,0.65016,0.89323,0.60025,0.92656,0,0.000247484,0.000247484,0.000247484
