epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,601.572,0.74654,0.66527,0.88005,0.89257,0.8367,0.87641,0.67703,0.6834,0.50966,0.83231,0.0003565,0.0003565,0.0003565
67,610.869,0.72744,0.62259,0.87403,0.93834,0.81376,0.87863,0.68356,0.677,0.51086,0.8299,0.0003466,0.0003466,0.0003466
68,619.068,0.72096,0.63319,0.88549,0.93384,0.82746,0.87575,0.67595,0.69047,0.51776,0.83242,0.0003367,0.0003367,0.0003367
69,628.779,0.74497,0.64441,0.87311,0.9256,0.82509,0.88193,0.6836,0.65675,0.49008,0.82417,0.0003268,0.0003268,0.0003268
70,637.784,0.69042,0.61621,0.86752,0.9274,0.81423,0.87677,0.67598,0.66922,0.48429,0.82702,0.0003169,0.0003169,0.0003169
71,646.002,0.7359,0.64603,0.86258,0.88514,0.82774,0.87697,0.68312,0.66453,0.49443,0.82648,0.000307,0.000307,0.000307
72,655.84,0.71888,0.60666,0.86268,0.91172,0.80823,0.88287,0.67997,0.67841,0.49826,0.8282,0.0002971,0.0002971,0.0002971
73,665.249,0.74046,0.61786,0.86711,0.90569,0.82171,0.88281,0.67124,0.6743,0.50175,0.82738,0.0002872,0.0002872,0.0002872
74,674.242,0.70577,0.61418,0.87021,0.83729,0.86886,0.8765,0.67365,0.66447,0.49024,0.827,0.0002773,0.0002773,0.0002773
75,682.991,0.68939,0.60148,0.868,0.86062,0.86109,0.87982,0.68394,0.65016,0.48343,0.8227,0.0002674,0.0002674,0.0002674
76,692.6,0.72065,0.61369,0.87017,0.93256,0.82137,0.8903,0.6873,0.65344,0.49246,0.82237,0.0002575,0.0002575,0.0002575
77,701.035,0.72073,0.6231,0.87025,0.88037,0.83426,0.87295,0.67867,0.68576,0.4884,0.82703,0.0002476,0.0002476,0.0002476
78,710.315,0.69906,0.61698,0.872,0.88461,0.84926,0.87459,0.68459,0.67485,0.48872,0.82451,0.0002377,0.0002377,0.0002377
79,719.491,0.69966,0.61972,0.86332,0.86978,0.8513,0.87636,0.68442,0.67831,0.48772,0.82552,0.0002278,0.0002278,0.0002278
80,727.528,0.65725,0.58567,0.86826,0.87743,0.84256,0.87598,0.68054,0.66915,0.48881,0.82372,0.0002179,0.0002179,0.0002179
81,737.113,0.66558,0.57172,0.85403,0.9037,0.85046,0.87916,0.68306,0.65463,0.47741,0.82117,0.000208,0.000208,0.000208
82,746.582,0.63908,0.56087,0.8562,0.92201,0.84821,0.8794,0.67673,0.68304,0.47773,0.82624,0.0001981,0.0001981,0.0001981
83,755.203,0.73622,0.63656,0.86263,0.91377,0.84902,0.88671,0.68832,0.64668,0.468,0.81645,0.0001882,0.0001882,0.0001882
84,764.384,0.70367,0.59425,0.86207,0.90027,0.8275,0.87397,0.68658,0.66145,0.46541,0.81789,0.0001783,0.0001783,0.0001783
85,773.394,0.68037,0.57636,0.85333,0.90195,0.83519,0.87719,0.68349,0.68897,0.46968,0.82443,0.0001684,0.0001684,0.0001684
86,782.934,0.6865,0.61002,0.86614,0.89303,0.82872,0.87631,0.69364,0.64722,0.46464,0.81945,0.0001585,0.0001585,0.0001585
87,791.715,0.68035,0.58041,0.85604,0.88128,0.83554,0.87554,0.69726,0.63271,0.46398,0.81958,0.0001486,0.0001486,0.0001486
88,800.822,0.70197,0.60208,0.86813,0.90055,0.84315,0.8789,0.69185,0.65873,0.46687,0.82283,0.0001387,0.0001387,0.0001387
